;version;loss_function;alpha;gamma;loss;accuracy;precision;recall;auc;val_loss;val_accuracy;val_precision;val_recall;val_auc
23;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.0374299064278602;0.939964234828949;0.9601029753684998;0.9585790038108826;0.9843347072601318;0.0373589321970939;0.946103572845459;0.968356728553772;0.9495768547058104;0.9872435927391052
24;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.0368627421557903;0.9412487149238586;0.960311472415924;0.9601662755012512;0.9847409725189208;0.0357161723077297;0.9465702176094056;0.968043088912964;0.9506347179412842;0.9880707263946532
25;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.035877738147974;0.942421555519104;0.9625388383865356;0.9594104290008544;0.9855380058288574;0.0364625975489616;0.9468035697937012;0.9524635672569276;0.9679125547409058;0.9880973100662231
26;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.0350627750158309;0.9439852833747864;0.9625482559204102;0.9616023898124696;0.9862398505210876;0.0395941920578479;0.9454036355018616;0.9804283380508424;0.9361777305603028;0.9874456524848938
27;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.0341151766479015;0.9459398984909058;0.9640478491783142;0.962736189365387;0.9869664907455444;0.0356516577303409;0.950070023536682;0.9580712914466858;0.9668547511100768;0.9885375499725342
28;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.0336601622402668;0.9482296705245972;0.9659168124198914;0.9639455676078796;0.9873355031013488;0.0360276997089386;0.9477367997169496;0.9614840745925904;0.9594499468803406;0.9879904985427856
29;v2.2.0.1;BinaryFocalCrossentropy;0.25;2.0;0.0333415791392326;0.9458840489387512;0.9651718735694884;0.9614512324333192;0.9875059723854064;0.0359431393444538;0.9496033787727356;0.9619181752204896;0.9619181752204896;0.9883360862731934
30;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.0273736827075481;0.9232155680656432;0.9478607773780824;0.9459728598594666;0.9749786257743835;0.0206195041537284;0.9412038922309875;0.965753436088562;0.944640338420868;0.985108494758606
31;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.021695502102375;0.9317547082901;0.9537484645843506;0.9538926482200624;0.9800012111663818;0.0208580736070871;0.9440037608146667;0.9454358220100404;0.9714386463165284;0.986471712589264
32;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.020112108439207;0.9367809891700744;0.957910656929016;0.956462562084198;0.9827568531036376;0.0190340913832187;0.9479701519012452;0.9611719250679016;0.9601551294326782;0.9874691367149352
33;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.0194044336676597;0.941695511341095;0.9617308378219604;0.959259271621704;0.9841287732124328;0.0188775677233934;0.948203444480896;0.9579537510871888;0.964033842086792;0.9880489110946656
34;v2.2.0.2;BinaryFocalCrossentropy;0.25;3.0;0.0192092172801494;0.9407461285591124;0.9616113901138306;0.9580498933792114;0.9844868183135986;0.0251030158251523;0.9328044652938844;0.924101173877716;0.9788434505462646;0.9869284629821776
